,fecha,fix,inpc,tasa_obj
0,2018-01-01,,5.936162,7.25
1,2018-01-02,19.4899,5.937773,7.25
2,2018-01-03,19.3717,5.939385,7.25
3,2018-01-04,19.2427,5.940997,7.25
4,2018-01-05,19.2737,5.942609,7.25
5,2018-01-06,,5.944222,7.25
6,2018-01-07,,5.945836,7.25
7,2018-01-08,19.2323,5.947449,7.25
8,2018-01-09,19.3065,5.949064,7.25
9,2018-01-10,19.2405,5.950678,7.25
10,2018-01-11,19.3433,5.95177,7.25
11,2018-01-12,19.0446,5.952862,7.25
12,2018-01-13,,5.953955,7.25
13,2018-01-14,,5.955047,7.25
14,2018-01-15,18.8113,5.95614,7.25
15,2018-01-16,18.8362,5.957233,7.25
16,2018-01-17,18.655,5.958326,7.25
17,2018-01-18,18.6361,5.959419,7.25
18,2018-01-19,18.5813,5.960512,7.25
19,2018-01-20,,5.961606,7.25
20,2018-01-21,,5.9627,7.25
21,2018-01-22,18.7118,5.963794,7.25
22,2018-01-23,18.798,5.964888,7.25
23,2018-01-24,18.5178,5.965983,7.25
24,2018-01-25,18.478,5.967077,7.25
25,2018-01-26,18.4672,5.967965,7.25
26,2018-01-27,,5.968852,7.25
27,2018-01-28,,5.96974,7.25
28,2018-01-29,18.6196,5.970627,7.25
29,2018-01-30,18.6982,5.971515,7.25
30,2018-01-31,18.6069,5.972403,7.25
31,2018-02-01,18.4004,5.973291,7.25
32,2018-02-02,18.5248,5.974179,7.25
33,2018-02-03,,5.975068,7.25
34,2018-02-04,,5.975956,7.25
35,2018-02-05,,5.976845,7.25
36,2018-02-06,18.7009,5.977733,7.25
37,2018-02-07,18.6492,5.978622,7.25
38,2018-02-08,18.8815,5.979511,7.5
39,2018-02-09,18.8623,5.9804,7.5
40,2018-02-10,,5.98129,7.5
41,2018-02-11,,5.982521,7.5
42,2018-02-12,18.6703,5.983752,7.5
43,2018-02-13,18.6269,5.984984,7.5
44,2018-02-14,18.6025,5.986216,7.5
45,2018-02-15,18.5159,5.987448,7.5
46,2018-02-16,18.4797,5.988681,7.5
47,2018-02-17,,5.989913,7.5
48,2018-02-18,,5.991146,7.5
49,2018-02-19,18.536,5.992379,7.5
50,2018-02-20,18.6594,5.993613,7.5
51,2018-02-21,18.6518,5.994847,7.5
52,2018-02-22,18.6574,5.996081,7.5
53,2018-02-23,18.5659,5.997315,7.5
54,2018-02-24,,5.998549,7.5
