fecha,valor
2018-01-01,5.936162
2018-01-02,5.937773
2018-01-03,5.939385
2018-01-04,5.940997
2018-01-05,5.942609
2018-01-06,5.944222
2018-01-07,5.945836
2018-01-08,5.947449
2018-01-09,5.949064
2018-01-10,5.950678
2018-01-11,5.95177
2018-01-12,5.952862
2018-01-13,5.953955
2018-01-14,5.955047
2018-01-15,5.95614
2018-01-16,5.957233
2018-01-17,5.958326
2018-01-18,5.959419
2018-01-19,5.960512
2018-01-20,5.961606
2018-01-21,5.9627
2018-01-22,5.963794
2018-01-23,5.964888
2018-01-24,5.965983
2018-01-25,5.967077
2018-01-26,5.967965
2018-01-27,5.968852
2018-01-28,5.96974
2018-01-29,5.970627
2018-01-30,5.971515
2018-01-31,5.972403
2018-02-01,5.973291
2018-02-02,5.974179
2018-02-03,5.975068
2018-02-04,5.975956
2018-02-05,5.976845
2018-02-06,5.977733
2018-02-07,5.978622
2018-02-08,5.979511
2018-02-09,5.9804
2018-02-10,5.98129
2018-02-11,5.982521
2018-02-12,5.983752
2018-02-13,5.984984
2018-02-14,5.986216
2018-02-15,5.987448
2018-02-16,5.988681
2018-02-17,5.989913
2018-02-18,5.991146
2018-02-19,5.992379
2018-02-20,5.993613
2018-02-21,5.994847
2018-02-22,5.996081
2018-02-23,5.997315
2018-02-24,5.998549
2018-02-25,5.999784
2018-02-26,6.000729
2018-02-27,6.001675
2018-02-28,6.00262
2018-03-01,6.003566
2018-03-02,6.004512
2018-03-03,6.005458
2018-03-04,6.006404
2018-03-05,6.00735
2018-03-06,6.008296
2018-03-07,6.009243
2018-03-08,6.010189
2018-03-09,6.011136
2018-03-10,6.012083
2018-03-11,6.012256
2018-03-12,6.012429
2018-03-13,6.012603
2018-03-14,6.012776
2018-03-15,6.012949
2018-03-16,6.013122
2018-03-17,6.013295
2018-03-18,6.013468
2018-03-19,6.013641
2018-03-20,6.013814
2018-03-21,6.013987
2018-03-22,6.01416
2018-03-23,6.014334
2018-03-24,6.014507
2018-03-25,6.01468
2018-03-26,6.015786
2018-03-27,6.016892
2018-03-28,6.017998
2018-03-29,6.019105
2018-03-30,6.020212
2018-03-31,6.021319
2018-04-01,6.022426
2018-04-02,6.023533
2018-04-03,6.024641
2018-04-04,6.025749
2018-04-05,6.026857
2018-04-06,6.027965
2018-04-07,6.029073
2018-04-08,6.030182
2018-04-09,6.031291
2018-04-10,6.0324
2018-04-11,6.032451
2018-04-12,6.032503
2018-04-13,6.032555
2018-04-14,6.032606
2018-04-15,6.032658
2018-04-16,6.03271
2018-04-17,6.032761
2018-04-18,6.032813
2018-04-19,6.032864
2018-04-20,6.032916
2018-04-21,6.032968
2018-04-22,6.033019
2018-04-23,6.033071
2018-04-24,6.033123
2018-04-25,6.033174
2018-04-26,6.031781
2018-04-27,6.030388
2018-04-28,6.028996
2018-04-29,6.027604
2018-04-30,6.026212
2018-05-01,6.02482
2018-05-02,6.023429
2018-05-03,6.022038
2018-05-04,6.020648
2018-05-05,6.019257
2018-05-06,6.017867
2018-05-07,6.016478
2018-05-08,6.015089
2018-05-09,6.0137
2018-05-10,6.012311
2018-05-11,6.01232
2018-05-12,6.012329
2018-05-13,6.012338
2018-05-14,6.012348
2018-05-15,6.012357
2018-05-16,6.012366
2018-05-17,6.012375
2018-05-18,6.012384
2018-05-19,6.012393
2018-05-20,6.012402
2018-05-21,6.012411
2018-05-22,6.01242
2018-05-23,6.012429
2018-05-24,6.012439
2018-05-25,6.012448
2018-05-26,6.011353
2018-05-27,6.010258
2018-05-28,6.009164
2018-05-29,6.00807
2018-05-30,6.006976
2018-05-31,6.005882
2018-06-01,6.004789
2018-06-02,6.003695
2018-06-03,6.002602
2018-06-04,6.001509
2018-06-05,6.000416
2018-06-06,5.999324
2018-06-07,5.998231
2018-06-08,5.997139
2018-06-09,5.996047
2018-06-10,5.994956
2018-06-11,5.995978
2018-06-12,5.997
2018-06-13,5.998023
